ISO_Code,country,Continent,gdp_ppp,iwi,iwi_source,edu_composite,edu_expected,residual_performance,residual_z,residual_scaled,primary_avg,secondary_avg,tertiary_avg,completion_avg,gov_expenditure_pct_gdp,yearsAbove,yearsBelow,years_data,year_min,year_max
SUR,Suriname,Latin America,21615.1471,80.9656,observed,85.8199,88.8791,-3.0591,-0.4007,-4.0071,106.0445,71.4997,11.2761,81.438,5.4866,3,15,18,2001,2020
SVK,Slovak Republic,Europe,28592.1669,88.3323,estimated_from_gdp,86.6273,91.0123,-4.385,-0.2073,-2.0729,100.9524,92.5409,47.0799,96.8439,4.0174,0,21,21,2000,2020
SVN,Slovenia,Europe,37617.8556,94.9473,estimated_from_gdp,96.6201,92.6589,3.9612,0.6104,6.1037,99.5053,105.5073,79.3063,97.6504,5.38,19,2,21,2000,2020
SWE,Sweden,Europe,55838.0607,100.0,estimated_from_gdp,103.7966,93.6112,10.1855,1.3636,13.636,109.0194,123.5164,72.9453,99.5912,7.0153,21,0,21,2000,2020
SWZ,Eswatini,Sub-Saharan Africa,8090.444,48.8579,observed,81.285,73.4285,7.8565,0.3645,3.6451,115.3772,59.5066,5.1607,80.4668,5.8139,10,9,19,2000,2019
SYC,Seychelles,Sub-Saharan Africa,24401.4653,84.8814,estimated_from_gdp,98.2039,90.0779,8.1261,0.6871,6.8709,117.7643,87.159,20.6588,120.9265,4.1386,17,4,21,2000,2020
SYR,Syrian Arab Republic,Asia/Pacific,8084.024,72.5182,observed,76.9809,85.0017,-8.0208,-0.633,-6.3297,110.3252,62.1887,21.8772,97.6236,5.1923,3,12,15,2000,2020
TCA,Turks and Caicos Islands,Latin America,22327.3453,83.3382,observed,81.1637,89.6253,-8.4616,-0.7105,-7.1049,110.5369,87.242,12.0351,100.9903,2.7757,3,5,8,2009,2020
TCD,Chad,Sub-Saharan Africa,2461.8193,14.539,observed,39.363,47.0427,-7.6797,-0.712,-7.1201,81.367,19.6633,1.8812,33.2376,2.2738,2,18,20,2000,2019
TGO,Togo,Sub-Saharan Africa,2216.5435,34.0286,observed,74.8765,63.3497,11.5267,0.6833,6.8335,119.4774,44.3062,10.7706,76.9149,3.0626,20,1,21,2000,2020
THA,Thailand,Asia/Pacific,16758.4182,80.7906,observed,83.5098,88.714,-5.2042,-0.4517,-4.5166,100.1678,90.9117,45.8547,95.6124,3.8527,7,13,20,2000,2020
TJK,Tajikistan,Asia/Pacific,2402.7777,60.8421,observed,75.5941,80.1583,-4.5642,-0.2322,-2.3224,95.5801,81.4661,22.9726,94.7639,3.9679,3,16,19,2000,2020
TKM,Turkmenistan,Asia/Pacific,15511.2416,83.3,observed,74.7084,89.6772,-14.9689,-1.2289,-12.2887,108.5686,87.189,13.6621,,3.4416,0,2,2,2019,2020
TLS,Timor-Leste,Asia/Pacific,4171.5087,43.3566,observed,88.4147,69.9029,18.5118,1.2286,12.2863,122.3616,66.0429,14.0049,93.3727,7.1992,17,1,18,2001,2020
TON,Tonga,Asia/Pacific,5958.4494,57.6674,observed,104.3998,78.2428,26.157,1.4173,14.1734,119.599,105.7221,9.9823,106.2391,4.4797,17,1,18,2000,2020
TTO,Trinidad and Tobago,Latin America,28306.2704,84.3072,observed,80.3225,89.9665,-9.644,-0.9143,-9.1434,97.1527,84.2731,7.9864,89.6303,3.3424,5,5,10,2000,2010
TUN,Tunisia,Sub-Saharan Africa,11567.0794,75.5717,observed,79.5316,86.6456,-7.114,-0.4836,-4.8365,106.6729,82.6634,30.1575,93.015,6.3776,0,20,20,2000,2020
TUR,Turkiye,Asia/Pacific,21463.8557,82.4381,observed,90.5741,89.2681,1.306,0.2942,2.9421,105.1652,94.96,66.2637,102.0791,4.175,9,12,21,2000,2020
TUV,Tuvalu,Asia/Pacific,4121.0906,53.7295,observed,95.7467,75.8046,19.9421,1.0104,10.1043,99.9694,79.7205,,100.748,,12,0,12,2001,2020
TZA,Tanzania,Sub-Saharan Africa,2684.4791,25.69,observed,60.6461,56.7686,3.8775,0.0029,0.0287,93.5145,29.8725,2.5394,70.4677,3.996,10,10,20,2000,2020
UGA,Uganda,Sub-Saharan Africa,2081.4552,21.6222,observed,61.6705,53.2805,8.39,0.4434,4.4338,119.1278,24.9048,3.8821,57.1507,2.3737,10,8,18,2000,2017
UKR,Ukraine,Europe,15935.9247,77.7369,observed,92.4107,87.7376,4.6732,0.7256,7.2562,99.9034,94.9755,74.2476,97.0909,5.6967,15,6,21,2000,2020
URY,Uruguay,Latin America,23936.6034,86.2124,observed,93.8843,90.4553,3.429,0.6041,6.0412,109.4136,104.8725,51.4832,99.082,3.5998,18,3,21,2000,2020
USA,United States,North America,64921.0448,100.0,estimated_from_gdp,96.5311,93.6112,2.92,0.3277,3.2774,100.7812,98.1541,87.5151,100.0844,5.3988,8,1,9,2005,2020
UZB,Uzbekistan,Europe,5883.7437,60.2732,observed,77.5641,80.1033,-2.5392,-0.0239,-0.2387,97.0572,91.3945,10.5406,97.0263,5.5323,2,19,21,2000,2020
VCT,St. Vincent and the Grenadines,Latin America,13626.944,71.9117,estimated_from_gdp,95.5261,85.5202,10.0059,0.7616,7.616,111.0664,104.0851,23.6124,106.3661,5.9953,18,1,19,2000,2020
VNM,Viet Nam,Asia/Pacific,7718.3998,65.84,observed,80.4235,82.2963,-1.8728,-0.2396,-2.3958,106.3605,90.5622,21.1687,101.3228,3.8275,7,13,20,2000,2020
VUT,Vanuatu,Asia/Pacific,3247.1268,41.3017,observed,79.5306,68.6804,10.8502,0.3891,3.8911,112.5889,43.2202,4.4889,86.7373,5.9101,8,5,13,2000,2020
WSM,Samoa,Asia/Pacific,6117.5376,62.2424,observed,87.9341,80.2415,7.6926,0.4606,4.606,100.8243,80.4493,12.5033,98.1512,4.3891,14,5,19,2000,2020
ZAF,South Africa,Sub-Saharan Africa,13586.8787,66.8461,observed,84.434,83.2495,1.1844,-0.0186,-0.1864,102.286,91.3005,19.9518,88.408,5.0774,15,6,21,2000,2020
ZMB,Zambia,Sub-Saharan Africa,2884.3187,25.4333,observed,89.0432,56.5777,32.4654,1.4478,14.4782,106.9399,,3.9968,81.2128,2.5016,12,0,12,2000,2013
ZWE,Zimbabwe,Sub-Saharan Africa,5235.4168,40.4692,observed,74.0853,68.0436,6.0417,0.2762,2.762,103.8892,45.2876,8.6577,91.4829,5.2148,6,7,13,2000,2020
