ISO_Code,country,Continent,gdp_ppp,iwi,iwi_source,edu_composite,edu_expected,residual_performance,residual_z,residual_scaled,primary_avg,secondary_avg,tertiary_avg,completion_avg,gov_expenditure_pct_gdp,yearsAbove,yearsBelow,years_data,year_min,year_max
HRV,Croatia,Europe,29280.4959,89.2841,estimated_from_gdp,91.4644,91.3495,0.1149,0.2779,2.7786,99.2,100.4626,58.6048,99.2188,4.5036,9,10,19,2001,2020
HUN,Hungary,Europe,29267.1121,89.1802,estimated_from_gdp,91.0115,91.3043,-0.2927,0.2339,2.3391,100.2742,101.1325,55.5251,97.9929,4.7971,12,9,21,2000,2020
IDN,Indonesia,Asia/Pacific,9090.5848,61.9238,observed,80.7835,80.6549,0.1286,0.2765,2.7646,110.2152,76.5666,25.2372,102.7222,2.5418,12,9,21,2000,2020
IND,India,Asia/Pacific,5218.8071,45.2619,observed,67.8246,70.9277,-3.1031,0.0081,0.0815,108.35,64.2916,19.5885,92.2261,3.8174,9,12,21,2000,2020
IRL,Ireland,Europe,69026.9422,100.0,estimated_from_gdp,97.5634,93.6112,3.9522,0.5171,5.1711,102.2124,117.3124,64.71,97.3535,4.5318,15,6,21,2000,2020
IRN,"Iran, Islamic Rep.",Middle East/North Africa,14545.9773,73.644,observed,85.7649,86.2461,-0.4812,0.1326,1.3259,108.0043,83.5719,42.6215,101.2838,3.6628,11,9,20,2000,2020
IRQ,Iraq,Asia/Pacific,10153.9689,73.153,observed,61.2109,86.0175,-24.8066,-2.2397,-22.3968,96.2492,43.2514,13.7538,63.181,,0,4,4,2000,2007
ISL,Iceland,Europe,58220.6389,100.0,estimated_from_gdp,97.1341,93.6112,3.5229,0.6453,6.4529,98.8451,112.2606,69.8593,99.0911,7.2941,19,2,21,2000,2020
ISR,Israel,Middle East/North Africa,37826.5889,95.0626,estimated_from_gdp,88.5416,92.6808,-4.1392,-0.195,-1.95,96.9137,96.7516,57.4117,96.2993,5.7992,0,21,21,2000,2020
ITA,Italy,Europe,49600.0643,99.9705,estimated_from_gdp,93.2839,93.6064,-0.3225,0.2307,2.307,102.133,100.1033,62.7155,100.7061,4.2628,11,10,21,2000,2020
JAM,Jamaica,Latin America,10109.92,72.9878,observed,79.7957,85.8374,-6.0416,-0.5445,-5.4453,95.7845,85.7192,21.0474,87.3301,5.4824,6,14,20,2000,2020
JOR,Jordan,Asia/Pacific,9762.3567,90.6556,observed,80.6983,91.6974,-10.9991,-0.9389,-9.3891,94.9948,86.869,35.6159,92.4797,3.1522,1,17,18,2000,2020
JPN,Japan,Asia/Pacific,43670.8677,98.4444,estimated_from_gdp,91.6382,93.3495,-1.7113,-0.2506,-2.5058,102.3814,102.0983,62.5189,,3.2441,0,8,8,2013,2020
KAZ,Kazakhstan,Asia/Pacific,25343.3819,79.2208,observed,94.6454,88.1392,6.5062,0.4449,4.4485,101.4372,100.0254,51.493,100.4768,3.2212,20,1,21,2000,2020
KEN,Kenya,Sub-Saharan Africa,4125.7857,29.4429,observed,66.9018,59.6399,7.2619,0.2979,2.9788,100.9426,47.4978,5.5381,95.6842,5.664,9,5,14,2000,2019
KGZ,Kyrgyz Republic,Asia/Pacific,4898.0369,71.6381,observed,82.8064,85.1682,-2.3618,-0.0039,-0.0387,97.994,86.8057,41.6763,96.0066,5.7624,0,21,21,2000,2020
KHM,Cambodia,Asia/Pacific,3929.9853,43.5381,observed,76.5374,69.583,6.9544,0.4013,4.0132,124.1932,38.7367,9.0294,88.2136,1.8553,14,7,21,2000,2020
KIR,Kiribati,Asia/Pacific,2395.3041,35.2447,observed,98.317,64.267,34.0499,2.1293,21.2931,105.6032,79.6291,,105.2917,12.0432,13,0,13,2000,2020
KNA,St. Kitts and Nevis,Latin America,24241.08,84.9388,estimated_from_gdp,105.2337,90.1346,15.099,1.1335,11.3354,111.9003,102.7633,67.2159,106.7694,3.5055,15,1,16,2000,2016
KOR,"Korea, Rep.",Asia/Pacific,38933.1826,95.2451,estimated_from_gdp,98.0089,92.6681,5.3409,0.8413,8.4129,99.9707,97.6513,93.7229,99.9051,4.3126,21,0,21,2000,2020
KWT,Kuwait,Middle East/North Africa,67214.7319,97.975,observed,94.2256,93.2368,0.9888,-0.1158,-1.1583,103.4546,97.0291,31.6418,99.7121,5.3969,9,7,16,2000,2015
LAO,Lao PDR,Asia/Pacific,5218.1746,55.7138,observed,67.0641,76.8579,-9.7938,-0.7904,-7.9043,112.8493,50.5834,12.3532,84.8245,2.3455,0,21,21,2000,2020
LBR,Liberia,Sub-Saharan Africa,1606.6164,28.0449,observed,67.0432,58.7886,8.2546,0.2053,2.0532,91.0499,38.2404,18.0451,60.1513,2.0806,8,2,10,2000,2020
LBY,Libya,Middle East/North Africa,18872.584,79.3519,estimated_from_gdp,95.0052,88.3579,6.6474,0.1804,1.8038,105.9566,102.1087,59.7417,,,4,1,5,2001,2006
LCA,St. Lucia,Latin America,20512.9757,81.9228,observed,81.4683,89.2188,-7.7504,-0.674,-6.7404,100.6121,87.6853,15.1412,98.53,3.9031,3,18,21,2000,2020
LKA,Sri Lanka,Asia/Pacific,10705.3962,65.7185,estimated_from_gdp,87.1123,82.6372,4.4751,0.0631,0.6312,97.9621,94.7723,17.973,97.0282,1.9832,8,11,19,2001,2020
LSO,Lesotho,Sub-Saharan Africa,2560.3029,33.191,observed,69.8042,62.5236,7.2806,0.5788,5.7878,114.1683,46.0973,6.5112,74.7269,9.1065,16,5,21,2000,2020
LTU,Lithuania,Europe,29548.3594,88.6911,estimated_from_gdp,97.0493,91.0248,6.0245,0.915,9.15,102.5917,104.0236,73.3941,102.0621,4.8239,21,0,21,2000,2020
LUX,Luxembourg,Europe,128178.7517,100.0,estimated_from_gdp,82.9229,93.6112,-10.6882,-0.9812,-9.8122,98.3883,100.2167,15.7128,80.9273,4.2766,6,14,20,2000,2020
LVA,Latvia,Europe,26331.7749,86.3157,estimated_from_gdp,96.8441,90.423,6.4211,0.9578,9.5776,102.0641,104.2498,74.7928,100.3783,5.1681,21,0,21,2000,2020
MAC,"Macao SAR, China",Asia/Pacific,110263.963,100.0,estimated_from_gdp,89.971,93.6112,-3.6402,-0.127,-1.27,101.5783,92.2432,64.2528,96.2114,2.8023,3,18,21,2000,2020
MAR,Morocco,Sub-Saharan Africa,7114.5583,73.5026,observed,70.4064,85.7279,-15.3215,-1.3933,-13.9328,106.3952,59.3461,19.9881,83.2286,5.1922,3,18,21,2000,2020
MDA,Moldova,Europe,12986.342,71.8994,observed,93.2185,85.5495,7.669,1.0923,10.9229,105.1756,99.6563,53.2729,105.4924,5.9846,7,0,7,2014,2020
MDG,Madagascar,Sub-Saharan Africa,1650.1228,23.4286,observed,60.8089,54.9458,5.8631,0.6567,6.5666,131.0688,32.1192,3.7164,57.8412,2.7705,17,4,21,2000,2020
MDV,Maldives,Asia/Pacific,17062.1305,80.1539,observed,89.7569,88.5334,1.2235,-0.2648,-2.6482,106.6304,65.3322,21.4295,101.415,4.6016,13,8,21,2000,2020
MEX,Mexico,Latin America,20682.4208,78.0416,observed,85.4052,87.6413,-2.2361,0.0244,0.2438,108.4184,89.3753,29.6973,102.1942,4.5869,6,15,21,2000,2020
MHL,Marshall Islands,Asia/Pacific,4549.7328,46.9568,estimated_from_gdp,89.5152,72.4074,17.1078,1.1211,11.2107,98.9201,82.0271,28.6155,95.7537,9.9866,13,0,13,2002,2020
MKD,North Macedonia,Europe,16204.1012,87.8477,observed,79.7214,90.7991,-11.0776,-0.9082,-9.0822,96.1681,83.9635,35.5819,96.0736,3.3001,0,19,19,2000,2020
MLI,Mali,Sub-Saharan Africa,2580.7276,26.5158,observed,42.5075,57.2663,-14.7588,-1.3249,-13.2495,72.1745,32.7759,4.5281,45.5907,3.4553,0,19,19,2000,2018
MLT,Malta,Middle East/North Africa,39537.9994,95.3175,estimated_from_gdp,87.6189,92.7047,-5.0858,-0.2803,-2.8031,101.7585,98.238,39.4562,100.3422,5.6002,0,21,21,2000,2020
MMR,Myanmar,Asia/Pacific,3327.5505,47.6,observed,77.16,72.8752,4.2848,0.1298,1.2978,107.7136,51.1685,14.3075,87.2175,2.0823,9,6,15,2000,2018
MNE,Montenegro,Europe,19797.2054,90.05,observed,86.256,91.5543,-5.2982,-0.3753,-3.7535,106.313,92.5105,47.353,95.8368,,0,16,16,2003,2020
MNG,Mongolia,Asia/Pacific,10569.2276,57.9466,observed,84.9772,78.6055,6.3717,0.5198,5.1984,102.5113,85.8732,53.4753,96.0322,4.939,18,3,21,2000,2020
MOZ,Mozambique,Sub-Saharan Africa,1224.646,22.25,observed,47.4187,53.8959,-6.4772,-0.4807,-4.8066,108.0444,23.8626,4.2686,46.6405,5.3935,1,19,20,2000,2020
MRT,Mauritania,Sub-Saharan Africa,5655.2663,32.8714,observed,45.2246,62.3058,-17.0812,-1.4896,-14.8958,89.2305,25.8238,4.4967,58.232,2.1845,0,21,21,2000,2020
MUS,Mauritius,Sub-Saharan Africa,19130.1871,82.247,observed,81.4445,89.1311,-7.6866,-0.5633,-5.6325,99.6121,88.4594,30.1731,95.8761,3.9127,0,21,21,2000,2020
MWI,Malawi,Sub-Saharan Africa,1430.3112,19.8211,observed,71.1349,51.7826,19.3522,1.5864,15.8636,138.5473,34.9226,0.5015,67.6748,3.2443,19,0,19,2000,2019
MYS,Malaysia,Asia/Pacific,24098.57,86.136,observed,80.0065,90.4498,-10.4433,-0.8519,-8.5192,98.8503,80.0852,35.7257,97.7358,5.3088,0,21,21,2000,2020
NAM,Namibia,Sub-Saharan Africa,10065.3001,50.4288,observed,85.2694,74.1949,11.0745,0.5475,5.4755,120.3271,64.6047,15.8225,89.5165,8.188,16,3,19,2000,2020
NER,Niger,Sub-Saharan Africa,1364.7183,17.5395,observed,31.4298,49.7619,-18.3321,-1.6497,-16.4973,58.6284,12.8938,2.2379,42.2808,3.127,0,21,21,2000,2020
NGA,Nigeria,Sub-Saharan Africa,7320.4485,38.41,observed,60.4158,66.6255,-6.2097,-0.595,-5.9504,90.0168,38.8771,10.4251,78.4212,0.4622,4,16,20,2000,2020
NIC,Nicaragua,Latin America,5943.5288,51.263,observed,74.8931,75.0412,-0.148,-0.1457,-1.4572,111.3849,63.3878,17.2632,72.8875,3.7296,8,11,19,2000,2020
NLD,Netherlands,Europe,61438.8008,100.0,estimated_from_gdp,101.8868,93.6112,8.2756,0.4586,4.5862,106.6445,119.9066,66.6184,,5.158,19,0,19,2000,2020
